,Actividad,Calificación,URL
0,Museo Marítimo Nacional,4.5,https://www.tripadvisor.es//Attraction_Review-g190479-d656587-Reviews-Fram_Museum-Oslo_Eastern_Norway.html
1,Museo del Pueblo Noruego,4.5,https://www.tripadvisor.es//Attraction_Review-g190479-d246066-Reviews-Norsk_Folkemuseum-Oslo_Eastern_Norway.html
2,Vigeland Park,4.5,https://www.tripadvisor.es//Attraction_Review-g190479-d9602729-Reviews-Vigeland_Park-Oslo_Eastern_Norway.html
3,The Norwegian National Opera & Ballet,4.5,https://www.tripadvisor.es//Attraction_Review-g190479-d1902077-Reviews-The_Norwegian_National_Opera_Ballet-Oslo_Eastern_Norway.html
4,Oslofjord,4.5,https://www.tripadvisor.es//Attraction_Review-g190479-d2237933-Reviews-Oslofjord-Oslo_Eastern_Norway.html
5,The Bergen Railway,4.5,https://www.tripadvisor.es//Attraction_Review-g190479-d3524103-Reviews-The_Bergen_Railway-Oslo_Eastern_Norway.html
6,Viking Ship Museum,4.5,https://www.tripadvisor.es//Attraction_Review-g190479-d206464-Reviews-Viking_Ship_Museum-Oslo_Eastern_Norway.html
7,Museo de Vigeland,4.5,https://www.tripadvisor.es//Attraction_Review-g190479-d196804-Reviews-Vigeland_Museum-Oslo_Eastern_Norway.html
8,The National Museum,4.5,https://www.tripadvisor.es//Attraction_Review-g190479-d24051441-Reviews-The_National_Museum-Oslo_Eastern_Norway.html
9,The Kon-Tiki Museum,4.5,https://www.tripadvisor.es//Attraction_Review-g190479-d206475-Reviews-The_Kon_Tiki_Museum-Oslo_Eastern_Norway.html
10,Castillo y Fortaleza de Akershus,4.0,https://www.tripadvisor.es//Attraction_Review-g190479-d206477-Reviews-Akershus_Castle_and_Fortress_Akershus_Slott_og_Festning-Oslo_Eastern_Norway.html
11,Munch,4.0,https://www.tripadvisor.es//Attraction_Review-g190479-d196805-Reviews-Munch-Oslo_Eastern_Norway.html
12,Frogner Park,4.5,https://www.tripadvisor.es//Attraction_Review-g190479-d9599227-Reviews-Frogner_Park-Oslo_Eastern_Norway.html
13,Karl Johans Gate,4.0,https://www.tripadvisor.es//Attraction_Review-g190479-d206479-Reviews-Karl_Johans_Gate-Oslo_Eastern_Norway.html
14,Aker Brygge,4.5,https://www.tripadvisor.es//Attraction_Review-g190479-d522139-Reviews-Aker_Brygge-Oslo_Eastern_Norway.html
15,El Palacio Real,4.0,https://www.tripadvisor.es//Attraction_Review-g190479-d656633-Reviews-The_Royal_Palace-Oslo_Eastern_Norway.html
16,Ayuntamiento de Oslo,4.0,https://www.tripadvisor.es//Attraction_Review-g190479-d206468-Reviews-Oslo_City_Hall-Oslo_Eastern_Norway.html
17,Bygdøy Peninsula,4.5,https://www.tripadvisor.es//Attraction_Review-g190479-d246507-Reviews-Bygdoy_Peninsula-Oslo_Eastern_Norway.html
18,Ekebergparken,4.5,https://www.tripadvisor.es//Attraction_Review-g190479-d5045183-Reviews-Ekebergparken-Oslo_Eastern_Norway.html
19,Museo de la Resistencia Noruega,4.5,https://www.tripadvisor.es//Attraction_Review-g190479-d206467-Reviews-Norges_Hjemmefrontmuseum-Oslo_Eastern_Norway.html
20,Nobel Peace Center,4.0,https://www.tripadvisor.es//Attraction_Review-g190479-d579345-Reviews-Nobel_Peace_Center-Oslo_Eastern_Norway.html
21,Nordisk Bibelmuseum,5.0,https://www.tripadvisor.es//Attraction_Review-g190479-d14984349-Reviews-Nordisk_Bibelmuseum-Oslo_Eastern_Norway.html
22,Museo de Esquí y Torre de Salto en Esquí de Holmenkollen,4.5,https://www.tripadvisor.es//Attraction_Review-g190479-d206469-Reviews-Holmenkollen_Ski_Museum-Oslo_Eastern_Norway.html
23,Botanical Garden,4.5,https://www.tripadvisor.es//Attraction_Review-g190479-d526924-Reviews-Botanical_Garden-Oslo_Eastern_Norway.html
